RULE 1: IF srt <= -4.468994 AND Age <= 84.753849 AND #correct > 55.495087 THEN class = "0 pass", COVERING: 0.750000, ERROR: 0.050000
RULE 2: IF srt > -0.332244 AND Age > 69.860081 THEN class = "1 fail", COVERING: 0.683333, ERROR: 0.042105
RULE 3: IF srt > -13.949663 AND Age > 74.400352 AND trials <= 76.306515 THEN class = "1 fail", COVERING: 0.680952, ERROR: 0.044737
RULE 4: IF srt > -10.029165 AND #correct <= 63.960228 THEN class = "1 fail", COVERING: 0.645238, ERROR: 0.036842
RULE 5: IF srt <= -9.550631 THEN class = "0 pass", COVERING: 0.576316, ERROR: 0.038095
RULE 6: IF srt > 13.219239 THEN class = "1 fail", COVERING: 0.292857, ERROR: 0.002632
RULE 7: IF -4.175843 < srt <= 10.984783 AND Age <= 74.868034 AND #correct > 52.502502 THEN class = "0 pass", COVERING: 0.186842, ERROR: 0.047619
RULE 8: IF 72.997257 < #correct <= 102.627716 AND avg_reaction_time <= 1.202603 THEN class = "0 pass", COVERING: 0.155263, ERROR: 0.023810
RULE 9: IF -4.806845 < srt <= 13.219239 AND trials > 75.054897 AND 54.590361 < #correct <= 78.687302 THEN class = "0 pass", COVERING: 0.136842, ERROR: 0.047619
RULE 10: IF Age > 69.860081 AND 78.155506 < trials <= 108.519962 AND #correct <= 79.194031 AND %correct > 90.904568 AND 0.982628 < avg_reaction_time <= 3.016672 AND 165.541901 < total_test_time <= 398.179718 AND 0.447768 < volume <= 0.551684 THEN class = "1 fail", COVERING: 0.092857, ERROR: 0.047368
RULE 11: IF -11.860079 < srt <= -3.285272 AND 70.382545 < #correct <= 81.618095 AND %correct <= 92.151951 AND volume <= 0.507035 THEN class = "1 fail", COVERING: 0.016667, ERROR: 0.021053
RULE 12: IF 0.598021 < volume <= 0.631316 THEN class = "0 pass", COVERING: 0.005263, ERROR: 0.004762
